Time,Price
9:53:57,1906
9:53:58,1906.5
9:54:00,1906
9:54:03,1905.5
9:54:04,1905.5
9:54:06,1905.5
9:54:09,1905
9:54:10,1905
9:54:13,1905
9:54:14,1905
9:54:17,1904.5
9:54:19,1904.5
9:54:21,1904.5
9:54:23,1904.5
9:54:25,1904
9:54:27,1904.5
9:54:29,1904.5
9:54:30,1905
9:54:32,1905
9:54:34,1905
9:54:36,1905
9:54:37,1904.5
9:54:40,1904.5
9:54:42,1904.5
9:54:44,1904.5
9:54:47,1904.5
9:54:49,1904
9:54:51,1904
9:54:53,1905
9:54:54,1904.5
9:54:57,1904.5
9:54:59,1904.5
9:55:01,1904.5
9:55:03,1904
9:55:05,1904
9:55:07,1904
9:55:09,1903.5
9:55:12,1901
9:55:13,1901.5
9:55:15,1901.5
9:55:17,1901.5
9:55:19,1901.5
9:55:21,1901.5
9:55:22,1902
9:55:25,1901
9:55:27,1900.5
9:55:29,1901
9:55:31,1900.5
9:55:33,1900
9:55:35,1900.5
9:55:37,1900.5
9:55:38,1900.5
9:55:40,1900.5
9:55:43,1900
9:55:46,1900
9:55:49,1900.5
9:55:51,1901
9:55:53,1901
9:55:55,1901
9:55:56,1901
9:55:59,1901
9:56:01,1901
9:56:02,1901
9:56:05,1901
9:56:07,1901
9:56:09,1901
9:56:11,1901
9:56:13,1901
9:56:15,1901.5
9:56:16,1901
9:56:19,1901.5
9:56:20,1901.5
9:56:23,1901.5
9:56:25,1901
9:56:26,1901.5
9:56:29,1901.5
9:56:31,1902
9:56:32,1901.5
9:56:35,1902.5
9:56:37,1903
9:56:39,1902.5
9:56:41,1903
9:56:43,1903
9:56:45,1902.5
9:56:47,1902.5
9:56:48,1902
9:56:51,1903
9:56:53,1901.5
9:56:55,1901
9:56:57,1901
9:57:00,1901
9:57:02,1900.5
9:57:04,1900.5
9:57:06,1900
9:57:07,1900.5
9:57:08,1900.5
9:57:11,1901
9:57:12,1901
9:57:14,1901.5
9:57:17,1901.5
9:57:19,1901.5
9:57:21,1901.5
9:57:26,1901.5
9:57:28,1901.5
9:57:31,1901.5
9:57:32,1901.5
9:57:34,1902
9:57:35,1902.5
9:57:36,1902
9:57:40,1902
9:57:41,1901.5
9:57:42,1901.5
9:57:46,1901.5
9:57:47,1901.5
9:57:50,1902
9:57:52,1901.5
9:57:55,1902
9:57:56,1901.5
9:57:57,1902
9:58:01,1902.5
9:58:02,1902.5
9:58:05,1902
9:58:07,1902
9:58:09,1902
9:58:10,1902
9:58:12,1902
9:58:13,1902
9:58:17,1902
9:58:21,1902
9:58:22,1902
9:58:24,1902
9:58:25,1902
9:58:28,1902.5
9:58:29,1902.5
9:58:32,1903
9:58:34,1903
9:58:36,1903
9:58:38,1903
9:58:40,1903
9:58:43,1902.5
9:58:44,1903
9:58:45,1902.5
9:58:49,1903
9:58:51,1902.5
9:58:52,1903
9:58:54,1902.5
9:58:57,1902.5
9:58:58,1903
9:59:01,1902.5
9:59:02,1902.5
9:59:04,1902.5
9:59:06,1902.5
9:59:09,1903
9:59:10,1901.5
9:59:12,1900.5
9:59:14,1900.5
9:59:16,1900
9:59:19,1901
9:59:21,1900.5
9:59:22,1900.5
9:59:26,1901
9:59:30,1899
9:59:31,1899.5
9:59:33,1898.5
9:59:35,1898.5
9:59:37,1899
9:59:39,1899
9:59:41,1899.5
9:59:43,1899.5
9:59:45,1899
9:59:47,1899
9:59:48,1899
9:59:51,1899.5
9:59:53,1899.5
9:59:56,1900
10:00:00,1900
10:00:01,1900.5
10:00:03,1899.5
10:00:05,1900
10:00:08,1899.5
10:00:09,1900
10:00:10,1900
10:00:12,1900
10:00:15,1900
10:00:17,1900
10:00:18,1900.5
10:00:21,1900.5
10:00:24,1899.5
10:00:26,1899
10:00:28,1899
10:00:30,1898.5
10:00:32,1899
10:00:34,1898.5
10:00:35,1898.5
10:00:38,1899
10:00:40,1899.5
10:00:42,1900
10:00:44,1899.5
10:00:47,1899.5
10:00:51,1899.5
10:00:53,1899.5
10:00:54,1899.5
10:00:57,1899
10:00:58,1899
10:01:00,1899.5
10:01:02,1898.5
10:01:05,1897
10:01:07,1899
10:01:08,1899
10:01:11,1899
10:01:13,1899
10:01:14,1898.5
10:01:17,1898.5
10:01:18,1898.5
10:01:21,1899
10:01:23,1899.5
10:01:25,1899.5
10:01:28,1899.5
10:01:29,1899
10:01:30,1899.5
10:01:33,1899.5
10:01:34,1899.5
10:01:37,1899
10:01:38,1899.5
10:01:40,1899
10:01:43,1899.5
10:01:45,1899
10:01:47,1899.5
10:01:48,1900
10:01:51,1899
10:01:53,1899.5
10:01:55,1899
10:01:57,1899
10:01:59,1898.5
10:02:01,1898.5
10:02:04,1898
10:02:05,1898
10:02:07,1899
10:02:08,1898.5
10:02:10,1898.5
10:02:13,1898.5
10:02:15,1898
10:02:17,1898
10:02:18,1898.5
10:02:20,1898
10:02:23,1897.5
10:02:25,1897.5
10:02:27,1897.5
10:02:29,1897.5
10:02:31,1898
10:02:33,1898
10:02:35,1897
10:02:37,1897
10:02:39,1897
10:02:42,1896.5
10:02:43,1897
10:02:45,1896.5
10:02:47,1897
10:02:49,1897
10:02:50,1897
10:02:51,1896.5
10:02:55,1896.5
10:02:57,1897.5
10:02:59,1897
10:03:00,1897
10:03:03,1897
10:03:05,1897
10:03:07,1897.5
10:03:08,1897.5
10:03:10,1897
10:03:13,1896.5
10:03:15,1896.5
10:03:20,1897
10:03:21,1897
10:03:23,1896.5
10:03:25,1896.5
10:03:31,1897
10:03:32,1897
10:03:34,1897
10:03:36,1897.5
10:03:38,1897
10:03:41,1897.5
10:03:42,1897
10:03:44,1897.5
10:03:47,1897.5
10:03:51,1897
10:03:52,1898
10:03:55,1897.5
10:03:57,1898
10:03:58,1898
10:04:01,1898
10:04:03,1898
10:04:05,1898
